2026-04-11 22:36:15 — ========== VALIDAÇÃO CANONICAL — MODO LOCAL ==========
2026-04-11 22:36:15 — Verificando config.json de cada site
2026-04-11 22:36:15 — Total de sites: 36
2026-04-11 22:36:15 — 
2026-04-11 22:36:15 —   ✓ a01: config válido (slug='a01', seo.title presente)
2026-04-11 22:36:15 —   ✓ a02: config válido (slug='a02', seo.title presente)
2026-04-11 22:36:15 —   ✓ a03: config válido (slug='a03', seo.title presente)
2026-04-11 22:36:15 —   ✓ a04: config válido (slug='a04', seo.title presente)
2026-04-11 22:36:15 —   ✓ a05: config válido (slug='a05', seo.title presente)
2026-04-11 22:36:15 —   ✓ a06: config válido (slug='a06', seo.title presente)
2026-04-11 22:36:15 —   ✓ a07: config válido (slug='a07', seo.title presente)
2026-04-11 22:36:15 —   ✓ a08: config válido (slug='a08', seo.title presente)
2026-04-11 22:36:15 —   ✓ a09: config válido (slug='a09', seo.title presente)
2026-04-11 22:36:15 —   ✓ a10: config válido (slug='a10', seo.title presente)
2026-04-11 22:36:15 —   ✓ b01: config válido (slug='b01-sem-site-profissional', seo.title presente)
2026-04-11 22:36:15 —   ✓ b02: config válido (slug='b02-site-antigo-lento', seo.title presente)
2026-04-11 22:36:15 —   ✓ b03: config válido (slug='b03-sem-automacao', seo.title presente)
2026-04-11 22:36:15 —   ✓ b04: config válido (slug='b04-sem-presenca-digital', seo.title presente)
2026-04-11 22:36:16 —   ✓ b05: config válido (slug='b05-perder-clientes-online', seo.title presente)
2026-04-11 22:36:16 —   ✓ b06: config válido (slug='b06-sem-leads-qualificados', seo.title presente)
2026-04-11 22:36:16 —   ✓ b07: config válido (slug='b07-site-nao-aparece-google', seo.title presente)
2026-04-11 22:36:16 —   ✓ b08: config válido (slug='b08-concorrente-digital', seo.title presente)
2026-04-11 22:36:16 —   ✓ c01: config válido (slug='c01-site-institucional-pme', seo.title presente)
2026-04-11 22:36:16 —   ✓ c02: config válido (slug='c02-landing-page-conversao', seo.title presente)
2026-04-11 22:36:16 —   ✓ c03: config válido (slug='c03-app-web-negocio', seo.title presente)
2026-04-11 22:36:16 —   ✓ c04: config válido (slug='c04-ecommerce-pequeno-negocio', seo.title presente)
2026-04-11 22:36:16 —   ✓ c05: config válido (slug='c05-sistema-agendamento', seo.title presente)
2026-04-11 22:36:16 —   ✓ c06: config válido (slug='c06-automacao-atendimento', seo.title presente)
2026-04-11 22:36:16 —   ✓ c07: config válido (slug='c07-sistema-gestao-web', seo.title presente)
2026-04-11 22:36:16 —   ✓ c08: config válido (slug='c08-marketplace-nicho', seo.title presente)
2026-04-11 22:36:16 —   ✓ d01: config válido (slug='d01-calculadora-custo-site', seo.title presente)
2026-04-11 22:36:16 —   ✓ d02: config válido (slug='d02-calculadora-custo-app', seo.title presente)
2026-04-11 22:36:16 —   ✓ d03: config válido (slug='d03-diagnostico-maturidade-digital', seo.title presente)
2026-04-11 22:36:17 —   ✓ d04: config válido (slug='d04-calculadora-roi-automacao', seo.title presente)
2026-04-11 22:36:17 —   ✓ d05: config válido (slug='d05-checklist-presenca-digital', seo.title presente)
2026-04-11 22:36:17 —   ✓ e01: config válido (slug='e01-ia-para-pequenos-negocios', seo.title presente)
2026-04-11 22:36:17 —   ✓ e02: config válido (slug='e02-automacao-whatsapp', seo.title presente)
2026-04-11 22:36:17 —   ✓ e03: config válido (slug='e03-site-com-ia', seo.title presente)
2026-04-11 22:36:17 —   ✓ f01: config válido (slug='f01-blog-desenvolvimento-web', seo.title presente)
2026-04-11 22:36:17 —   ✓ f02: config válido (slug='f02-blog-marketing-digital', seo.title presente)
